AFN,Afganistán,Afghani afgano,؋
JPY,Japón,Yen japonés,¥
JEP,Jersey,Libra de Jersey,£
JOD,Jordania,Dinar jordano,د.ا
KZT,Kazajistán,Tenge kazajo,лв
KES,Kenia,Chelín keniano,KSh
KGS,Kirguistán,Som kirguís,лв
KWD,Kuwait,Dinar kuwaití,د.ك
LAK,Laos,Kip laosiano,₭
LSL,Lesoto,Loti lesothense,L
LVL,Letonia,Lats letón,Ls
LBP,Líbano,Libra libanesa,£
LRD,Liberia,Dólar liberiano,$
LYD,Libia,Dinar libio,ل.د
LTL,Lituania,Litas lituano,Lt
LUF,Luxemburgo,Franco luxemburgués,LUF
MOP,Macao,Pataca de Macao,P
MKD,Macedonia del Norte,Denar macedonio,ден
MGA,Madagascar,Ariary malgache,Ar
MYR,Malasia,Ringgit malayo,RM
MWK,Malaui,Kwacha malauí,MK
MVR,Maldivas,Rufiyaa maldiva,Rf
MTL,Malta,Lira maltesa,MTL
MAD,Marruecos,Dirham marroquí,د.م.
MUR,Mauricio,Rupia mauriciana,₨
MRO,Mauritania,Ouguiya mauritano,UM
MRU,Mauritania,Ouguiya mauritano,UM
MXN,México,Peso mexicano,$
MDL,Moldavia,Leu moldavo,MDL
MCF,Mónaco,Franco monegasco,MCF
MNT,Mongolia,Tugrik mongol,₮
MZN,Mozambique,Metical mozambiqueño,MT
MMK,Myanmar,Kyat birmano,Ks
NAD,Namibia,Dólar namibio,$
NPR,Nepal,Rupia nepalesa,₨
NIO,Nicaragua,Córdoba nicaragüense,C$
NGN,Nigeria,Naira nigeriano,₦
NOK,Noruega,Corona noruega,kr
NZD,Nueva Zelanda,Dólar neozelandés,$
OMR,Omán,Rial omaní,﷼
NLG,Países Bajos,Florín neerlandés,ƒ
PKR,Pakistán,Rupia pakistaní,₨
PAB,Panamá,Balboa panameño,B/.
PGK,Papúa Nueva Guinea,Kina papuana,K
PYG,Paraguay,Guaraní paraguayo,Gs
PEN,Perú,Sol peruano,S/.
XPF,Polinesia Francesa,Franco CFP,F
PLN,Polonia,Zloty polaco,zł
PTE,Portugal,Escudo portugués,PTE
GBP,Reino Unido,Libra esterlina,£
CZK,República Checa,Corona checa,Kč
CDF,República Democrática del Congo,Franco congoleño,FC
DOP,República Dominicana,Peso dominicano,RD$
RWF,Ruanda,Franco ruandés,FRw
RON,Rumania,Leu rumano,lei
RUB,Rusia,Rublo ruso,руб
WST,Samoa,Tala samoano,T
SML,San Marino,Lira sanmarinense,SML
SHP,Santa Elena,Libra de Santa Elena,£
STD,Santo Tomé y Príncipe,Dobra santotomense,Db
STN,Santo Tomé y Príncipe,Dobra santotomense,Db
RSD,Serbia,Dinar serbio,Дин.
SCR,Seychelles,Rupia seychellense,₨
SLL,Sierra Leona,Leone sierraleonés,Le
SGD,Singapur,Dólar singapurense,$
SYP,Siria,Libra siria,£
SOS,Somalia,Chelín somalí,S
LKR,Sri Lanka,Rupia de Sri Lanka,₨
SZL,Suazilandia,Lilangeni suazi,L
ZAR,Sudáfrica,Rand sudafricano,R
SDG,Sudán,Libra sudanesa,£
SSP,Sudán del Sur,Libra sursudanesa,£
SEK,Suecia,Corona sueca,kr
CHF,Suiza,Franco suizo,CHF
SRD,Surinam,Dólar surinamés,$
THB,Tailandia,Baht tailandés,฿
TWD,Taiwán,Nuevo dólar taiwanés,NT$
TZS,Tanzania,Chelín tanzano,TSh
TJS,Tayikistán,Somoni tayiko,SM
TOP,Tonga,Paʻanga tongano,T$
TTD,Trinidad y Tobago,Dólar de Trinidad y Tobago,TT$
TND,Túnez,Dinar tunecino,د.ت
TMT,Turkmenistán,Manat turcomano,TMT
TRY,Turquía,Lira turca,₺
UAH,Ucrania,Grivna ucraniana,₴
UGX,Uganda,Chelín ugandés,USh
EUR,Unión Europea,Euro,€
UYU,Uruguay,Peso uruguayo,$U
UZS,Uzbekistán,Som uzbeko,лв
VUV,Vanuatu,Vatu vanuatuense,Vt
VEB,Venezuela,Bolívar venezolano (1871-2008),VEB
VEF,Venezuela,Bolívar venezolano (2008-2018),Bs
VES,Venezuela,Bolívar soberano venezolano,Bs.
VND,Vietnam,Dong vietnamita,₫
YER,Yemen,Rial yemení,﷼
DJF,Yibuti,Franco de Yibuti,Fdj
ZMK,Zambia,Kwacha zambiano (1968-2012),ZMK
ZMW,Zambia,Kwacha zambiano,ZMW
ZWL,Zimbabue,Dólar zimbabuense (2009),ZWL
